,Date,Tickers,Currency,Amount,Amount_euro
392,2019-08-20,HCP,USD,48.47,43.3
393,2019-09-10,CVX,USD,46.41,41.4
394,2019-09-10,JNJ,USD,4.75,4.2
395,2019-09-13,O,USD,2.27,2.0
396,2019-09-13,O,USD,9.06,8.1
397,2019-09-17,MCD,USD,5.8,5.2
398,2019-10-01,KO,USD,5.2,4.6
399,2019-10-11,PM,USD,93.6,83.5
400,2019-10-15,O,USD,11.35,10.1
401,2019-11-01,T,USD,127.5,113.8
402,2019-11-15,O,USD,11.35,10.1
403,2019-11-15,PG,USD,33.57,30.0
404,2019-11-19,HCP,USD,48.47,43.3
405,2019-12-10,CVX,USD,46.41,41.4
406,2019-12-10,JNJ,USD,4.75,4.2
407,2019-12-13,O,USD,11.35,10.1
408,2019-12-16,KO,USD,5.2,4.6
409,2019-12-16,MCD,USD,6.25,5.6
410,2020-01-07,REE,EUR,204.53,204.5
411,2020-03-12,ACS,EUR,10.78,10.8
412,2020-03-12,ACS,EUR,-10.78,-10.8
413,2020-03-12,ACS,EUR,10.78,10.8
414,2020-03-13,ACS,EUR,10.78,10.8
415,2020-03-13,ACS,EUR,-10.78,-10.8
416,2020-03-16,ACS,EUR,10.78,10.8
417,2020-03-16,ACS,EUR,-10.78,-10.8
418,2020-03-18,UNA,EUR,12.31,12.3
419,2020-03-26,URW,EUR,378.0,378.0
420,2020-05-04,BAYN,EUR,420.0,420.0
421,2020-06-04,UNA,EUR,24.62,24.6
422,2020-06-23,BAS,EUR,495.0,495.0
423,2020-06-25,MAP,EUR,343.2,343.2
424,2020-07-01,REE,EUR,584.4,584.4
425,2020-07-06,ACS,EUR,48.48,48.5
426,2020-07-09,ACS,EUR,418.14,418.1
427,2020-07-09,ENG,EUR,395.42,395.4
428,2020-07-09,ENG,EUR,12.58,12.6
429,2020-07-13,DAI,EUR,157.5,157.5
430,2020-07-13,TEF,EUR,193.0,193.0
431,2020-08-04,IBE,EUR,232.0,232.0
432,2020-09-09,UNA,EUR,41.04,41.0
433,2020-11-20,UNA,EUR,41.04,41.0
434,2020-12-22,MAP,EUR,202.0,202.0
435,2020-12-23,ENG,EUR,285.6,285.6
436,2020-12-30,TEF,EUR,194.0,194.0
437,2020-12-30,TEF,EUR,-194.0,-194.0
438,2020-12-30,TEF,EUR,194.0,194.0
439,2021-01-07,REE,EUR,204.53,204.5
440,2020-03-25,ISF,GBP,85.73,94.9
441,2020-06-24,ISF,GBP,63.9,70.7
442,2020-09-30,ISF,GBP,85.95,95.2
443,2020-12-23,ISF,GBP,51.75,57.3
444,2020-01-10,PM,USD,93.6,81.9
445,2020-01-15,O,USD,11.38,10.0
446,2020-02-03,T,USD,130.0,113.8
447,2020-02-14,O,USD,11.63,10.2
448,2020-02-18,PG,USD,33.57,29.4
449,2020-02-28,PEAK,USD,48.47,42.4
450,2020-03-10,CVX,USD,50.31,44.0
451,2020-03-10,JNJ,USD,4.75,4.2
452,2020-03-13,O,USD,11.63,10.2
453,2020-03-16,MCD,USD,6.25,5.5
454,2020-04-01,KO,USD,5.33,4.7
455,2020-04-09,PM,USD,93.6,81.9
456,2020-04-15,O,USD,11.65,10.2
457,2020-05-01,T,USD,130.0,113.8
458,2020-05-15,O,USD,11.65,10.2
459,2020-05-15,PG,USD,35.58,31.1
460,2020-05-19,PEAK,USD,48.47,42.4
461,2020-06-09,JNJ,USD,5.05,4.4
462,2020-06-10,CVX,USD,64.5,56.5
463,2020-06-15,MCD,USD,6.25,5.5
464,2020-06-15,O,USD,13.98,12.2
465,2020-07-01,KO,USD,22.55,19.7
466,2020-07-10,PM,USD,93.6,81.9
467,2020-07-15,O,USD,23.35,20.4
468,2020-08-03,T,USD,130.0,113.8
469,2020-08-14,O,USD,23.35,20.4
470,2020-08-17,PG,USD,35.58,31.1
471,2020-08-25,PEAK,USD,48.47,42.4
472,2020-09-08,JNJ,USD,8.08,7.1
473,2020-09-10,CVX,USD,64.5,56.5
474,2020-09-15,MCD,USD,6.25,5.5
475,2020-09-15,O,USD,23.35,20.4
476,2020-10-01,KO,USD,22.55,19.7
477,2020-10-07,VFEM,USD,16.24,14.2
478,2020-10-13,PM,USD,96.0,84.0
479,2020-10-15,O,USD,23.4,20.5
480,2020-11-02,T,USD,130.0,113.8
481,2020-11-13,O,USD,23.4,20.5
482,2020-11-16,PG,USD,35.58,31.1
483,2020-11-23,PEAK,USD,48.47,42.4
484,2020-12-08,JNJ,USD,17.17,15.0
485,2020-12-10,CVX,USD,64.5,56.5
486,2020-12-15,KO,USD,22.55,19.7
487,2020-12-15,O,USD,23.4,20.5
488,2020-12-23,WITS,USD,1.02,0.9
489,2020-12-30,VFEM,USD,10.02,8.8
490,2021-01-11,PM,USD,96.0,84.0
491,2021-01-15,O,USD,23.45,20.5
492,2021-02-01,T,USD,100.36,87.9
493,2021-02-01,T,USD,29.64,25.9
